That would probably do something, but nothing you need to do now.	That would probably do something, but nothing you need to do now.
Wow, if your old trusty neckerchief could only talk, boy, the stories this baby would tell!	Wow, if your old trusty neckerchief could only talk, boy, the stories this baby would tell!
The tank of nitrous oxide is sealed; there's no way to open its valve with your bare hands. (But tanks for trying!)	The tank of nitrous oxide is sealed; there's no way to open its valve with your bare hands. (But tanks for trying!)
Sal uses this canister of nitrous oxide, also known as "laughing gas," to make sure his customers leave with a smile!	Sal uses this canister of nitrous oxide, also known as "laughing gas," to make sure his customers leave with a smile!
You dip your little finger in one of the open bottles of beer and taste it. Mmm, that hits the spot!	You dip your little finger in one of the open bottles of beer and taste it. Mmm, that hits the spot!
You have a full case of opened Lowebrau. (Don't get caught with it in your buggy!)	You have a full case of opened Lowebrau. (Don't get caught with it in your buggy!)
You squish the pie a bit to see what oozes out. (You sincerely hope them's apples!)	You squish the pie a bit to see what oozes out. (You sincerely hope them's apples!)
Ah, there's nothing quite like Mom's Apple Pie. Now if someone would just invent baseball: VOILA! Instant Americana!	Ah, there's nothing quite like Mom's Apple Pie. Now if someone would just invent baseball: VOILA! Instant Americana!
You slip the bullets in the chamber as the old memories come rushing back (including a few featuring you and your first cousin out behind the barn, when you were both curious 8-year-olds!).	You slip the bullets in the chamber as the old memories come rushing back (including a few featuring you and your first cousin out behind the barn, when you were both curious 8-year-olds!).
With the Sheriff's cleaning kit, you lovingly clean and polish your old pistols 'til they're like new. Good thing you removed all that nasty rust from your barrel -- the damn thing could'a exploded right in your face!	With the Sheriff's cleaning kit, you lovingly clean and polish your old pistols 'til they're like new. Good thing you removed all that nasty rust from your barrel -- the damn thing could'a exploded right in your face!
After removing the bullets, you clean and polish your pistols 'til they shine like a Coarsegold kid with his first passing grade. Good thing you removed all that rust from your barrel -- the damn thing could'a exploded right in your face! When you're done, you replace the bullets in the chamber.	After removing the bullets, you clean and polish your pistols 'til they shine like a Coarsegold kid with his first passing grade. Good thing you removed all that rust from your barrel -- the damn thing could'a exploded right in your face! When you're done, you replace the bullets in the chamber.
You cock the hammers, twirl the pistols, fake a shot, and slowly let the hammers back up. YES! That feels good, damn good!	You cock the hammers, twirl the pistols, fake a shot, and slowly let the hammers back up. YES! That feels good, damn good!
You draw your pistol.	You draw your pistol.
You don't want to draw until you're ready to fire, and you can't possibly hit anything useful from here.	You don't want to draw until you're ready to fire, and you can't possibly hit anything useful from here.
Your old pistols, looking somewhat tarnished after so many years in storage, are probably still quite serviceable.	Your old pistols, looking somewhat tarnished after so many years in storage, are probably still quite serviceable.
Your old pistols, now cleaned and restored to their original working condition, bring back a flood of emotions, with memories of yesteryear!	Your old pistols, now cleaned and restored to their original working condition, bring back a flood of emotions, with memories of yesteryear!
Your pistols are clean and loaded for bear! Now you're cookin'!	Your pistols are clean and loaded for bear! Now you're cookin'!
Your old pistols are fully loaded with the Sheriff Chickenshift's surplus ammo.	Your old pistols are fully loaded with the Sheriff Chickenshift's surplus ammo.
You riffle through the stack of spicy French Postcards, but they just won't animate smoothly.	You riffle through the stack of spicy French Postcards, but they just won't animate smoothly.
Ooh-la-la and Va-va-voom! No, that's not an exclamation! That's the names of the two ladies prominently featured on Madame's spicy French postcards. (Or, rather, they're the two ladies with the prominent features on Madame's spicy French postcards!)	Ooh-la-la and Va-va-voom! No, that's not an exclamation! That's the names of the two ladies prominently featured on Madame's spicy French postcards. (Or, rather, they're the two ladies with the prominent features on Madame's spicy French postcards!)
You press down on the tube, and it crumples ever so slightly. (What WILL modern technology think of next??)	You press down on the tube, and it crumples ever so slightly. (What WILL modern technology think of next??)
The tube of Preparation G, the latest anti-hemorrhoidal unguent from the folks at Parke-Loomis, is labeled, "Top Tush Treatments -- since 1848!"	The tube of Preparation G, the latest anti-hemorrhoidal unguent from the folks at Parke-Loomis, is labeled, "Top Tush Treatments -- since 1848!"
You turn the prescription over, looking for a locker combination or something, but there's nothing written on the other side.	You turn the prescription over, looking for a locker combination or something, but there's nothing written on the other side.
Penelope Primm, 4 mls Tyloxpolynide orally 2x/5 days.	Penelope Primm, 4 mls Tyloxpolynide orally 2x/5 days.
Why, the poor dear! She must be suffering from the vapors, those injurious exhalations produced within the body, creating feelings of hypochondria and depression. (Her prescription is in Doc's usual scrawl, and smells of whisky, so you know it's authentic!)	Why, the poor dear! She must be suffering from the vapors, those injurious exhalations produced within the body, creating feelings of hypochondria and depression. (Her prescription is in Doc's usual scrawl, and smells of whisky, so you know it's authentic!)
You hold the prescription up to the light to see if you can see any secret messages, but nothing is visible.	You hold the prescription up to the light to see if you can see any secret messages, but nothing is visible.
Helen Back's prescription is barely legible due to all the whisky spots, but you eventually decipher it...	Helen Back's prescription is barely legible due to all the whisky spots, but you eventually decipher it...
Helen Back, Quinotrazate tabs, 3x/7 days.	Helen Back, Quinotrazate tabs, 3x/7 days.
You try reading it backwards, but it's still a whisky-sodden, poorly-written prescription. Dang that Doc Gillespie anyway!	You try reading it backwards, but it's still a whisky-sodden, poorly-written prescription. Dang that Doc Gillespie anyway!
This prescription is impossible to read. That's what happens when Doc writes a prescription through bleary, whisky-soaked eyeballs!	This prescription is impossible to read. That's what happens when Doc writes a prescription through bleary, whisky-soaked eyeballs!
You shake the solution up a bit, just to make sure it stays well-mixed.	You shake the solution up a bit, just to make sure it stays well-mixed.
This should do the trick! You decide to name it "Pharkas's Patented Anti-Poopulent." (Now if you could only find a way to insure everybody in town gets a dose.)	This should do the trick! You decide to name it "Pharkas's Patented Anti-Poopulent." (Now if you could only find a way to insure everybody in town gets a dose.)
With a few quick movements, you make an authentic Western lasso out of the rope. It's like falling off a log... once you learn how, you never forget!	With a few quick movements, you make an authentic Western lasso out of the rope. It's like falling off a log... once you learn how, you never forget!
This hank of rope is plenty sturdy. (Give yourself enough of it, and you'll hang yourself.)	This hank of rope is plenty sturdy. (Give yourself enough of it, and you'll hang yourself.)
You carefully feel the edge of your silver ear. It's a little ragged, but sharp as the dickens!	You carefully feel the edge of your silver ear. It's a little ragged, but sharp as the dickens!
You've honed your silver ear to a deadly razor sharpness.	You've honed your silver ear to a deadly razor sharpness.
You scrape some of the dirt off the shovel, but it's still hopelessly dirty.	You scrape some of the dirt off the shovel, but it's still hopelessly dirty.
This shovel was left at ReBoot Hill for the convenience of the gravediggers.	This shovel was left at ReBoot Hill for the convenience of the gravediggers.
You carefully examine the silver ear. Fine workmanship. Nice socket for your cartilaginous earstump. No rough edges. A spectacular job, especially since this is your first foray into the wonderful world of lost-wax casting!	You carefully examine the silver ear. Fine workmanship. Nice socket for your cartilaginous earstump. No rough edges. A spectacular job, especially since this is your first foray into the wonderful world of lost-wax casting!
It's your soon-to-be-world-famous Silver Ear, symbol of truth, justice, and the Pharmacological Way!	It's your soon-to-be-world-famous Silver Ear, symbol of truth, justice, and the Pharmacological Way!
You poke the snails, and they recede quickly into their shells. (Kinda reminds you of taking a cold shower!)	You poke the snails, and they recede quickly into their shells. (Kinda reminds you of taking a cold shower!)
