That would probably do something, but nothing you need to do now.	那樣大概會有點反應，不過現在還用不著。
It's Srini's 99.9% silver medallion, awarded to him by the American Society of Salves, Holistic Ointments, Liniments and Emollients Salesmen. (Think about it!)	這是斯里尼的99.9%純銀勳章，由「美國藥膏、順勢療法軟膏、擦劑與潤膚劑推銷員協會」頒發給他。（自己想想這縮寫吧！）
I think I'll count my money.	我想我該來數數自己的錢了。
Never do that when you're sitting at the table. (There'll be time enough for counting when the game is done.)	坐在牌桌上千萬別這樣做。（等牌局結束後有的是時間數錢。）
Finally, you get your four dollars and eighty-seven cents! Smithie's pharmacy tab is paid in full at last!	終於，你拿到你的四塊八毛七分錢了！鐵匠史密的藥局帳終於還清了！
Say, let me show you a little trick with a borrowed neckerchief... Now you see it...	嘿，讓我用一條借來的領巾變個小把戲……看好了，這裡有……
Now you don't!	現在不見了！
Just kidding.	開玩笑的啦。
Wow, if your old trusty neckerchief could only talk, boy, the stories this baby would tell!	哇，要是你那條老領巾會說話，天曉得能講出多少故事！
The tank of nitrous oxide is sealed; there's no way to open its valve with your bare hands. (But tanks for trying!)	這桶笑氣是密封的，光靠雙手根本打不開閥門。（不過還是謝了，算你有心！）
Sal uses this canister of nitrous oxide, also known as "laughing gas," to make sure his customers leave with a smile!	阿薩用這桶笑氣，也就是俗稱的「一氧化二氮」，來確保每位客人都笑著離開！
You dip your little finger in one of the open bottles of beer and taste it. Mmm, that hits the spot!	你把小指頭伸進一瓶開了的啤酒裡沾了沾嚐嚐味道。嗯，這味道正對！
You have a full case of opened Lowebrau. (Don't get caught with it in your buggy!)	你有一整箱已開封的羅氏啤酒。（可別讓人抓到馬車上藏著這箱酒！）
You squish the pie a bit to see what oozes out. (You sincerely hope them's apples!)	你捏了捏派，想看看擠出來的是什麼。（你真心希望那是蘋果！）
Ah, there's nothing quite like Mom's Apple Pie. Now if someone would just invent baseball: VOILA! Instant Americana!	啊，什麼都比不上老媽的蘋果派。現在只要有人發明棒球，瞧！立馬變成道地美國味！
You slip the bullets in the chamber as the old memories come rushing back (including a few featuring you and your first cousin out behind the barn, when you were both curious 8-year-olds!).	你把子彈裝進彈膛，往事一股腦湧上心頭（包括幾段你和表親躲在穀倉後面，兩個八歲小孩好奇亂搞的回憶！）。
With the Sheriff's cleaning kit, you lovingly clean and polish your old pistols 'til they're like new. Good thing you removed all that nasty rust from your barrel -- the damn thing could'a exploded right in your face!	你用警長的清潔工具組，仔仔細細地把老手槍擦得跟新的一樣亮。還好你把槍管裡那些討厭的鏽都清乾淨了——不然這玩意兒真有可能當場在你臉上炸開！
After removing the bullets, you clean and polish your pistols 'til they shine like a Coarsegold kid with his first passing grade. Good thing you removed all that rust from your barrel -- the damn thing could'a exploded right in your face! When you're done, you replace the bullets in the chamber.	卸下子彈後，你把手槍擦得閃閃發亮，亮得像粗金鎮小孩第一次考及格那樣得意。還好你把槍管裡的鏽都清掉了——不然這玩意兒真有可能當場在你臉上炸開！擦完之後，你把子彈裝回彈膛。
You cock the hammers, twirl the pistols, fake a shot, and slowly let the hammers back up. YES! That feels good, damn good!	你扳起擊錘，轉了轉手槍，假裝開一槍，再慢慢把擊錘放回去。爽！這感覺真是好，好得要命！
You draw your pistol.	你拔出了手槍。
You don't want to draw until you're ready to fire, and you can't possibly hit anything useful from here.	沒準備好要開槍前，你可不想拔槍，而且從這裡你也打不中什麼有用的東西。
Your old pistols, looking somewhat tarnished after so many years in storage, are probably still quite serviceable.	你的老手槍收了這麼多年，看起來有點鏽蝕，但應該還能用。
Your old pistols, now cleaned and restored to their original working condition, bring back a flood of emotions, with memories of yesteryear!	老手槍如今擦得乾乾淨淨、恢復原本堪用的狀態，勾起你滿滿的往日回憶！
Your pistols are clean and loaded for bear! Now you're cookin'!	你的手槍擦得乾淨，子彈也上滿了！這下有搞頭了！
Your old pistols are fully loaded with the Sheriff Chickenshift's surplus ammo.	你的老手槍已經裝滿了席夫特警長留下的剩餘彈藥。
You riffle through the stack of spicy French Postcards, but they just won't animate smoothly.	你快速翻著那疊養眼法國明信片，但畫面就是動不流暢。
Ooh-la-la and Va-va-voom! No, that's not an exclamation! That's the names of the two ladies prominently featured on Madame's spicy French postcards. (Or, rather, they're the two ladies with the prominent features on Madame's spicy French postcards!)	「喔啦啦」和「哇哇轟」！不，這可不是感嘆詞！這是歐薇莉夫人那疊養眼法國明信片上，兩位「重點突出」女郎的名字。（或者說，她們就是那兩位「重點」特別突出的女郎！）
You press down on the tube, and it crumples ever so slightly. (What WILL modern technology think of next??)	你按了按軟管，它稍微皺了一下。（現代科技還能想出什麼花招啊？？）
The tube of Preparation G, the latest anti-hemorrhoidal unguent from the folks at Parke-Loomis, is labeled, "Top Tush Treatments -- since 1848!"	這支「G痔膏」，是帕克盧米斯家族最新推出的抗痔瘡軟膏，管身標著：「頂級屁股療方——自1848年起！」
You turn the prescription over, looking for a locker combination or something, but there's nothing written on the other side.	你把處方箋翻過來，想找置物櫃密碼之類的東西，但背面什麼都沒寫。
Penelope Primm, 4 mls Tyloxpolynide orally 2x/5 days.	潘妮洛普，泰洛西聚醯胺4毫升，口服，每5天2次。
Why, the poor dear! She must be suffering from the vapors, those injurious exhalations produced within the body, creating feelings of hypochondria and depression. (Her prescription is in Doc's usual scrawl, and smells of whisky, so you know it's authentic!)	哎呀，可憐的姑娘！她一定是得了「氣鬱症」，就是體內產生的那種有害氣息，會讓人疑神疑鬼、意志消沉。（她的處方箋是大夫一貫的鬼畫符筆跡，還帶著威士忌味，一看就知道是真貨！）
You hold the prescription up to the light to see if you can see any secret messages, but nothing is visible.	你把處方箋舉起來對著光，看看有沒有藏著什麼密文，但什麼也看不出來。
Helen Back's prescription is barely legible due to all the whisky spots, but you eventually decipher it...	海倫·貝克的處方箋被威士忌漬弄得幾乎認不出來，但你最後還是解讀出來了……
Helen Back, Quinotrazate tabs, 3x/7 days.	海倫·貝克，奎諾崔唑錠，每7天3次。
You try reading it backwards, but it's still a whisky-sodden, poorly-written prescription. Dang that Doc Gillespie anyway!	你試著反著讀，但這依然是張被威士忌泡爛、字跡潦草的處方箋。真是的，都怪大夫吉勒斯比！
This prescription is impossible to read. That's what happens when Doc writes a prescription through bleary, whisky-soaked eyeballs!	這張處方箋根本看不懂。這就是大夫用泡了威士忌、朦朧不清的眼睛開處方的下場！
You shake the solution up a bit, just to make sure it stays well-mixed.	你把藥水搖了搖，確保成分混合均勻。
This should do the trick! You decide to name it "Pharkas's Patented Anti-Poopulent." (Now if you could only find a way to insure everybody in town gets a dose.)	這應該管用！你決定把它取名叫「法卡斯特效止臭配方」。（現在只差想辦法讓全鎮的人都吃到一劑了。）
With a few quick movements, you make an authentic Western lasso out of the rope. It's like falling off a log... once you learn how, you never forget!	三兩下，你就用這條繩子搓出一條道地的西部套索。簡單得就像探囊取物……一旦學會了，這輩子都忘不掉！
This hank of rope is plenty sturdy. (Give yourself enough of it, and you'll hang yourself.)	這捆繩子相當堅韌。（繩子夠長，就能上吊了。）
You carefully feel the edge of your silver ear. It's a little ragged, but sharp as the dickens!	你小心摸了摸銀耳朵的邊緣。有點粗糙，但鋒利得要命！
You've honed your silver ear to a deadly razor sharpness.	你已經把銀耳朵磨得像剃刀一樣致命鋒利。
You scrape some of the dirt off the shovel, but it's still hopelessly dirty.	你刮掉了鏟子上一些泥土，但它還是髒得沒救。
This shovel was left at ReBoot Hill for the convenience of the gravediggers.	這把鏟子留在「重開機墓園」，方便掘墓人使用的。
You carefully examine the silver ear. Fine workmanship. Nice socket for your cartilaginous earstump. No rough edges. A spectacular job, especially since this is your first foray into the wonderful world of lost-wax casting!	你仔細端詳這隻銀耳朵。做工精細，耳窩正好貼合你的軟骨耳根，邊緣毫無粗糙感。做得漂亮，尤其這還是你第一次嘗試脫蠟鑄造這門奇妙技藝！
It's your soon-to-be-world-famous Silver Ear, symbol of truth, justice, and the Pharmacological Way!	這就是你即將名震天下的銀耳朵，代表著真理、正義與藥學之道的象徵！
You poke the snails, and they recede quickly into their shells. (Kinda reminds you of taking a cold shower!)	你戳了戳蝸牛，牠們立刻縮回殼裡。（有點像你洗冷水澡的感覺！）
If you only had a few snails mushroom caps to go with these.	要是能找幾朵蘑菇頭配這些蝸牛就好了。
You pour a small amount of beer on the snails. They quickly begin to weave around uncertainly, as if... as if they were DRUNK! How bizarre!	你倒了點啤酒在蝸牛身上。牠們立刻搖搖晃晃地爬來爬去，簡直像……簡直像喝醉了一樣！太詭異了！
You run your hand up the length of the blade. Criminy! This baby's SHARP! (You compose a short mental note of complaint to the Franklin Mint.)	你的手沿著刀刃摸了上去。老天！這傢伙真利！（你在心裡草擬了一封簡短的抗議信，準備寄給富蘭克林鑄幣廠。）
It appears to be a Confederate sword. You wonder if it's sharp?	這看起來像是一把南方邦聯軍刀。你在想它利不利？
You drop the charcoal into tin can. Now we're gettin' somewhere!	你把木炭丟進鐵罐裡。這下總算有點眉目了！
You poke around inside the can for a few leftover beans, but no dice. (And no beans, either!)	你在罐子裡摸來摸去，想找幾顆剩下的豆子，但沒撈到。（豆子也一顆都沒有！）
You gently stir the coal, and a little of it sifts through the holes in the can. (Look, Ma! Black snow!)	你輕輕攪動煤炭，有一點從罐子的洞裡漏了出來。（老媽你看！黑雪耶！）
You stir the can full of charcoal with your finger. Whee!	你用手指攪了攪裝滿木炭的罐子。哇呼！
You feel the jagged edges inside the can where the ice pick has poked through the steel. You feel the leather of the strap where it passes through the holes in the side of the can. (And you feel mighty silly standing here feeling a can!)	你摸了摸罐子內側被冰鑿戳穿鐵皮留下的鋸齒狀邊緣。你也摸了摸皮帶穿過罐子側邊洞口的部分。（站在這裡摸一個罐子，你覺得自己蠢斃了！）
Yep, it feels like those holes go right straight through that can!	沒錯，摸起來這些洞真的是直接穿透這個罐子！
